account,total_pnl,total_trades,overall_wr,pnl_std,mean_trade_size,trading_days,total_longs,total_shorts,avg_ls_ratio,freq_bucket,winner_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,0.21575816912527282,1594696.6427804816,15578.066878995556,2,1711,2107,0.4481403876375065,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,3853,0.4831455208038494,2481.0390250481414,2093.0507951855716,2,1673,2180,0.43420711134181156,Frequent,Mixed
0x271b280974205ca63b716753467d5a371de622ab,31763.088431,1146,0.4101525821596244,16810.324711221998,16282.920322769955,3,511,635,0.44589877835951136,Infrequent,Mixed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,13266,0.4382462457785591,78803.7205356674,508.4139635573343,2,6692,6574,0.5044474596713403,Frequent,Mixed
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,3234,0.5041174876271167,45393.7982678346,3073.4131596983725,2,1177,2057,0.36394557823129253,Frequent,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,6,174,443,0.2820097244732577,Infrequent,Consistent Loser
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336000003,3589,0.4235405579745203,39251.38738936482,4677.615483087406,2,1648,1941,0.4591808303148509,Frequent,Mixed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,0.48694812669414433,27061.691165498392,3562.32316586833,2,170,162,0.5120481927710844,Infrequent,Mixed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,383,0.23009302325581393,118299.28661641778,5522.192161395349,2,101,282,0.26370757180156656,Infrequent,Mixed
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1051,0.5795973900106022,72509.12904270686,3111.6620970235913,4,302,749,0.2873453853472883,Infrequent,Consistent Winner
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,8340,0.3518527444550567,25879.553074420644,518.0945601985864,2,4008,4332,0.4805755395683453,Frequent,Mixed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,4134,0.45342799559104363,390500.89329457725,8721.255130770734,2,1980,2154,0.47895500725689405,Frequent,Mixed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,7479,0.33960062168627064,116302.38300087833,14130.896722149999,4,4130,3349,0.5522128626821767,Frequent,Mixed
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,6000,0.2078068201488662,285318.75166853267,15783.011971052674,2,2869,3131,0.4781666666666667,Frequent,Mixed
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,822,0.6346153846153846,66863.96996598267,708.2712132167833,2,346,476,0.4209245742092457,Infrequent,Consistent Winner
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.195065,1134,0.4773828241193218,162123.1835270101,12204.608594261252,2,403,731,0.35537918871252205,Infrequent,Mixed
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,1358,0.21240287616186415,205207.94245249778,2214.3003479174768,2,585,773,0.43078055964653905,Infrequent,Mixed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,8948,0.6525427199077096,86720.03206263528,2024.855107183806,4,4278,4670,0.47809566383549396,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,0.4510939510939511,,3643.361287001287,1,687,867,0.4420849420849421,Infrequent,Mixed
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3071,0.14381544502617802,138807.74309475298,2291.4922229493895,2,994,2077,0.32367307066102247,Infrequent,Mixed
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,1856,0.18860730875159287,45607.29298463915,3693.4206066304932,2,1118,738,0.6023706896551724,Infrequent,Mixed
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.57877200001,11216,0.31904297150736477,30325.472764467504,935.8498685293911,3,4784,6432,0.42653352353780316,Frequent,Mixed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,2804,0.23317573310667233,64917.39714894605,3183.173862887803,2,1860,944,0.6633380884450785,Infrequent,Mixed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.52289600001,13485,0.3693499526052079,6269.142867731186,1397.0147898539399,2,8528,4957,0.632406377456433,Frequent,Mixed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,0.4773045688426012,41414.6924947144,3460.7354680222347,3,156,261,0.37410071942446044,Infrequent,Mixed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,372,0.4109311740890689,8608.14950223787,3230.1484251012143,2,217,155,0.5833333333333334,Infrequent,Mixed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,534,0.27301587301587305,15308.01418469826,5151.995371428571,2,304,230,0.5692883895131086,Infrequent,Mixed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.4260490001,14410,0.33240635480576364,612159.0976384933,5106.900183817335,5,6646,7764,0.46120749479528106,Frequent,Mixed
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,0.4386109962794543,,22504.555828854896,1,2368,2470,0.48945845390657294,Frequent,Mixed
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,0.46753185464841907,,3210.7751864086836,1,11195,9995,0.5283152430391694,Frequent,Mixed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.65721599996,2478,0.26289390636195936,221869.10489635207,5414.876755980059,2,1103,1375,0.44511702986279256,Infrequent,Mixed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,36534,0.47706197670905004,394033.1511889349,2124.0605654260357,2,15660,20874,0.4286418131056003,Frequent,Mixed
